Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
BHS,2007,EJ Events,0.9895491934683919,0.001032204789430175,%,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2012,EJ Events,0.9920808080350397,0.000782064650677725,%,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2017,EJ Events,0.9894446527152727,0.0010425354462051124,%,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2022,EJ Events,0.9899364050987274,0.0009939416887541999,%,Estimated,America,Caribbean,Commonwealth of the Bahamas
BIH,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2012,EJ Events,0.9788958967989341,0.0020855057351407,%,EJ Atlas,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2017,EJ Events,0.9704726998483054,0.0029190992493744,%,EJ Atlas,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2022,EJ Events,0.9693611384648204,0.0030291556228701,%,EJ Atlas,Europe,Southern Europe,Bosnia and Herzegovina
BLR,2007,EJ Events,1.0,0.0,%,EJ Atlas,Europe,Eastern Europe,Republic of Belarus
BLR,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,Europe,Eastern Europe,Republic of Belarus
BLR,2017,EJ Events,0.9957765411635009,0.000417014178482,%,EJ Atlas,Europe,Eastern Europe,Republic of Belarus
BLR,2022,EJ Events,0.9961650706062528,0.0003786444528587,%,EJ Atlas,Europe,Eastern Europe,Republic of Belarus
BLZ,2007,EJ Events,0.9749361541268231,0.0024772914946325,%,EJ Atlas,America,Central America,Belize
BLZ,2012,EJ Events,0.9841678021339545,0.0015641293013555,%,EJ Atlas,America,Central America,Belize
BLZ,2017,EJ Events,0.9873349024478105,0.0012510425354462,%,EJ Atlas,America,Central America,Belize
BLZ,2022,EJ Events,0.9884995644723238,0.0011359333585762,%,EJ Atlas,America,Central America,Belize
BMU,2007,EJ Events,0.7657229009792379,0.023396641893751666,%,Estimated,America,Northern America,Bermuda
BMU,2012,EJ Events,0.7891873578724662,0.0210288494960027,%,Estimated,America,Northern America,Bermuda
BMU,2017,EJ Events,0.7689092674899287,0.023074784542674434,%,Estimated,America,Northern America,Bermuda
BMU,2022,EJ Events,0.7549489758529931,0.0244856746182001,%,Estimated,America,Northern America,Bermuda
BOL,2007,EJ Events,0.8340672829641184,0.0165152766308835,%,EJ Atlas,America,South America,Plurinational State of Bolivia
BOL,2012,EJ Events,0.8220011878745396,0.0177267987486965,%,EJ Atlas,America,South America,Plurinational State of Bolivia
BOL,2017,EJ Events,0.8448930022653443,0.0154295246038365,%,EJ Atlas,America,South America,Plurinational State of Bolivia
BOL,2022,EJ Events,0.8590656954474142,0.0140098447557743,%,EJ Atlas,America,South America,Plurinational State of Bolivia
BRA,2007,EJ Events,0.39128871731423653,0.0619322873658133,%,EJ Atlas,America,South America,Federative Republic of Brazil
BRA,2012,EJ Events,0.405155020603111,0.0604796663190823,%,EJ Atlas,America,South America,Federative Republic of Brazil
BRA,2017,EJ Events,0.4732218457099875,0.0533778148457047,%,EJ Atlas,America,South America,Federative Republic of Brazil
BRA,2022,EJ Events,0.4840452065067183,0.0522529344945096,%,EJ Atlas,America,South America,Federative Republic of Brazil
BRB,2007,EJ Events,0.9895491934683919,0.001032204789430175,%,Estimated,America,Caribbean,Barbados
BRB,2012,EJ Events,0.9920808080350397,0.000782064650677725,%,Estimated,America,Caribbean,Barbados
BRB,2017,EJ Events,0.9894446527152727,0.0010425354462051124,%,Estimated,America,Caribbean,Barbados
BRB,2022,EJ Events,0.9899364050987274,0.0009939416887541999,%,Estimated,America,Caribbean,Barbados
BRN,2007,EJ Events,0.8716247343847893,0.01275346362051561,%,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2012,EJ Events,0.8798273859602467,0.011933727262194355,%,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2017,EJ Events,0.875446802395519,0.012371420628301311,%,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2022,EJ Events,0.8771545494274705,0.012200765703226833,%,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BTN,2007,EJ Events,0.8453885566442746,0.015379851362510275,%,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BTN,2012,EJ Events,0.8375817588095831,0.0161626694473409,%,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BTN,2017,EJ Events,0.8334590443946386,0.016576313594662172,%,Estimated,Asia,Southern Asia,Kingdom of Bhutan
