Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
BGD,2012,Protected Forests,0.7068740371962882,24.7,%,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2017,Protected Forests,0.7068740371962882,24.7,%,Food and Agriculture Organization (FAO),Asia,Southern Asia,People's Republic of Bangladesh
BGD,2022,Protected Forests,0.7068740371962882,24.7,%,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGR,2007,Protected Forests,0.887378461240106,57.88,%,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BGR,2012,Protected Forests,0.887378461240106,57.88,%,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BGR,2017,Protected Forests,0.8854469901771668,57.36,%,Food and Agriculture Organization (FAO),Europe,Eastern Europe,Republic of Bulgaria
BGR,2022,Protected Forests,0.8854469901771668,57.36,%,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BHR,2007,Protected Forests,0.7328468462500832,27.955999999999996,%,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2012,Protected Forests,0.7328468462500832,27.955999999999996,%,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2017,Protected Forests,0.7307513858302249,27.678666666666665,%,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2022,Protected Forests,0.7307513858302249,27.678666666666665,%,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHS,2007,Protected Forests,0.8118888436684533,40.629000000000005,%,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2012,Protected Forests,0.8118888436684533,40.629000000000005,%,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2017,Protected Forests,0.802390283693887,38.852000000000004,%,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2022,Protected Forests,0.802390283693887,38.852000000000004,%,Estimated,America,Caribbean,Commonwealth of the Bahamas
BIH,2007,Protected Forests,0.7955839132777437,37.6255,%,Estimated,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2012,Protected Forests,0.7955839132777437,37.6255,%,Estimated,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2017,Protected Forests,0.7928468943186487,37.143,%,Estimated,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2022,Protected Forests,0.7928468943186487,37.143,%,Estimated,Europe,Southern Europe,Bosnia and Herzegovina
BLR,2007,Protected Forests,0.8874524075104292,57.9,%,Estimated,Europe,Eastern Europe,Republic of Belarus
BLR,2012,Protected Forests,0.8874524075104292,57.9,%,Estimated,Europe,Eastern Europe,Republic of Belarus
BLR,2017,Protected Forests,0.8832157163892917,56.765,%,Food and Agriculture Organization (FAO),Europe,Eastern Europe,Republic of Belarus
BLR,2022,Protected Forests,0.8832157163892917,56.765,%,Estimated,Europe,Eastern Europe,Republic of Belarus
BLZ,2007,Protected Forests,0.6582173098433431,19.55333333333333,%,Estimated,America,Central America,Belize
BLZ,2012,Protected Forests,0.6582173098433431,19.55333333333333,%,Estimated,America,Central America,Belize
BLZ,2017,Protected Forests,0.6597655275491735,19.7,%,Estimated,America,Central America,Belize
BLZ,2022,Protected Forests,0.6597655275491735,19.7,%,Estimated,America,Central America,Belize
BMU,2007,Protected Forests,0.705272569933779,24.511666666666667,%,Estimated,America,Northern America,Bermuda
BMU,2012,Protected Forests,0.705272569933779,24.511666666666667,%,Estimated,America,Northern America,Bermuda
BMU,2017,Protected Forests,0.7007015238223312,23.981666666666666,%,Estimated,America,Northern America,Bermuda
BMU,2022,Protected Forests,0.7007015238223312,23.981666666666666,%,Estimated,America,Northern America,Bermuda
BOL,2007,Protected Forests,0.6965956885477389,23.515,%,Estimated,America,South America,Plurinational State of Bolivia
BOL,2012,Protected Forests,0.6965956885477389,23.515,%,Estimated,America,South America,Plurinational State of Bolivia
BOL,2017,Protected Forests,0.6965956885477389,23.515,%,Food and Agriculture Organization (FAO),America,South America,Plurinational State of Bolivia
BOL,2022,Protected Forests,0.6965956885477389,23.515,%,Estimated,America,South America,Plurinational State of Bolivia
BRA,2007,Protected Forests,0.6557313204561206,19.32,%,Estimated,America,South America,Federative Republic of Brazil
BRA,2012,Protected Forests,0.6557313204561206,19.32,%,Estimated,America,South America,Federative Republic of Brazil
BRA,2017,Protected Forests,0.6421357456511326,18.09,%,Food and Agriculture Organization (FAO),America,South America,Federative Republic of Brazil
BRA,2022,Protected Forests,0.6421357456511326,18.09,%,Estimated,America,South America,Federative Republic of Brazil
BRB,2007,Protected Forests,0.8118888436684533,40.629000000000005,%,Estimated,America,Caribbean,Barbados
BRB,2012,Protected Forests,0.8118888436684533,40.629000000000005,%,Estimated,America,Caribbean,Barbados
BRB,2017,Protected Forests,0.802390283693887,38.852000000000004,%,Estimated,America,Caribbean,Barbados
BRB,2022,Protected Forests,0.802390283693887,38.852000000000004,%,Estimated,America,Caribbean,Barbados
BRN,2007,Protected Forests,0.7936218534356245,37.278999999999996,%,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2012,Protected Forests,0.7936218534356245,37.278999999999996,%,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2017,Protected Forests,0.7916505620296364,36.934,%,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2022,Protected Forests,0.7916505620296364,36.934,%,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BTN,2007,Protected Forests,0.7263905630150306,27.11,%,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BTN,2012,Protected Forests,0.7263905630150306,27.11,%,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BTN,2017,Protected Forests,0.7263905630150306,27.11,%,Food and Agriculture Organization (FAO),Asia,Southern Asia,Kingdom of Bhutan
BTN,2022,Protected Forests,0.7263905630150306,27.11,%,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BWA,2007,Protected Forests,0.5375755782079573,10.81,%,Estimated,Africa,Southern Africa,Republic of Botswana
BWA,2012,Protected Forests,0.5375755782079573,10.81,%,Estimated,Africa,Southern Africa,Republic of Botswana
BWA,2017,Protected Forests,0.5375755782079573,10.81,%,Food and Agriculture Organization (FAO),Africa,Southern Africa,Republic of Botswana
BWA,2022,Protected Forests,0.5375755782079573,10.81,%,Estimated,Africa,Southern Africa,Republic of Botswana
CAF,2007,Protected Forests,0.49662052859073885,8.784999999999998,%,Estimated,Africa,Middle Africa,Central African Republic
CAF,2012,Protected Forests,0.49662052859073885,8.784999999999998,%,Estimated,Africa,Middle Africa,Central African Republic
CAF,2017,Protected Forests,0.4933698587231444,8.639999999999999,%,Food and Agriculture Organization (FAO),Africa,Middle Africa,Central African Republic
CAF,2022,Protected Forests,0.4933698587231444,8.639999999999999,%,Estimated,Africa,Middle Africa,Central African Republic
CAN,2007,Protected Forests,0.7781905902414143,34.66,%,Estimated,America,Northern America,Canada
CAN,2012,Protected Forests,0.7781905902414143,34.66,%,Estimated,America,Northern America,Canada
CAN,2017,Protected Forests,0.768259188054904,33.07,%,Food and Agriculture Organization (FAO),America,Northern America,Canada
CAN,2022,Protected Forests,0.768259188054904,33.07,%,Estimated,America,Northern America,Canada
CHE,2007,Protected Forests,0.8641212018838701,51.915,%,Estimated,Europe,Western Europe,Swiss Confederation
CHE,2012,Protected Forests,0.8641212018838701,51.915,%,Estimated,Europe,Western Europe,Swiss Confederation
CHE,2017,Protected Forests,0.8626762368384849,51.565000000000005,%,Food and Agriculture Organization (FAO),Europe,Western Europe,Swiss Confederation
CHE,2022,Protected Forests,0.8626762368384849,51.565000000000005,%,Estimated,Europe,Western Europe,Swiss Confederation
CHL,2007,Protected Forests,0.5384036430631315,10.855,%,Estimated,America,South America,Republic of Chile
CHL,2012,Protected Forests,0.5384036430631315,10.855,%,Estimated,America,South America,Republic of Chile
CHL,2017,Protected Forests,0.536744352121918,10.765,%,Food and Agriculture Organization (FAO),America,South America,Republic of Chile
CHL,2022,Protected Forests,0.536744352121918,10.765,%,Estimated,America,South America,Republic of Chile
CHN,2007,Protected Forests,0.8279944639970922,43.825,%,Estimated,Asia,Eastern Asia,People's Republic of China
CHN,2012,Protected Forests,0.8279944639970922,43.825,%,Estimated,Asia,Eastern Asia,People's Republic of China
CHN,2017,Protected Forests,0.8156276507888116,41.35,%,Food and Agriculture Organization (FAO),Asia,Eastern Asia,People's Republic of China
CHN,2022,Protected Forests,0.8156276507888116,41.35,%,Estimated,Asia,Eastern Asia,People's Republic of China
CIV,2007,Protected Forests,0.8431671410665866,47.06,%,Estimated,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2012,Protected Forests,0.8431671410665866,47.06,%,Estimated,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2017,Protected Forests,0.8545098293844394,49.629999999999995,%,Food and Agriculture Organization (FAO),Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2022,Protected Forests,0.8545098293844394,49.629999999999995,%,Estimated,Africa,Western Africa,Republic of Côte d'Ivoire
CMR,2007,Protected Forests,0.8060365740215045,39.525,%,Estimated,Africa,Middle Africa,Republic of Cameroon
CMR,2012,Protected Forests,0.8060365740215045,39.525,%,Estimated,Africa,Middle Africa,Republic of Cameroon
CMR,2017,Protected Forests,0.8034422104589916,39.045,%,Food and Agriculture Organization (FAO),Africa,Middle Africa,Republic of Cameroon
CMR,2022,Protected Forests,0.8034422104589916,39.045,%,Estimated,Africa,Middle Africa,Republic of Cameroon
COD,2007,Protected Forests,0.5791549096589554,13.295,%,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COD,2012,Protected Forests,0.5791549096589554,13.295,%,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COD,2017,Protected Forests,0.5791549096589554,13.295,%,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COD,2022,Protected Forests,0.5791549096589554,13.295,%,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COG,2007,Protected Forests,0.7239760226152594,26.800000000000004,%,Estimated,Africa,Middle Africa,Republic of the Congo
COG,2012,Protected Forests,0.7239760226152594,26.800000000000004,%,Estimated,Africa,Middle Africa,Republic of the Congo
COG,2017,Protected Forests,0.7103619025029664,25.115000000000002,%,Food and Agriculture Organization (FAO),Africa,Middle Africa,Republic of the Congo
COG,2022,Protected Forests,0.7103619025029664,25.115000000000002,%,Estimated,Africa,Middle Africa,Republic of the Congo
COL,2007,Protected Forests,0.7634452099578646,32.325,%,Estimated,America,South America,Republic of Colombia
COL,2012,Protected Forests,0.7634452099578646,32.325,%,Estimated,America,South America,Republic of Colombia
COL,2017,Protected Forests,0.7634452099578646,32.325,%,Food and Agriculture Organization (FAO),America,South America,Republic of Colombia
COL,2022,Protected Forests,0.7634452099578646,32.325,%,Estimated,America,South America,Republic of Colombia
COM,2007,Protected Forests,0.48822762781297757,8.415,%,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2012,Protected Forests,0.48822762781297757,8.415,%,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2017,Protected Forests,0.48822762781297757,8.415,%,Food and Agriculture Organization (FAO),Africa,Eastern Africa,Union of the Comoros
COM,2022,Protected Forests,0.48822762781297757,8.415,%,Estimated,Africa,Eastern Africa,Union of the Comoros
CPV,2007,Protected Forests,0.7051821238189363,24.50107142857143,%,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2012,Protected Forests,0.7051821238189363,24.50107142857143,%,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2017,Protected Forests,0.705891472334302,24.584285714285716,%,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2022,Protected Forests,0.705891472334302,24.584285714285716,%,Estimated,Africa,Western Africa,Republic of Cabo Verde
CRI,2007,Protected Forests,0.8129376167805489,40.83,%,Estimated,America,Central America,Republic of Costa Rica
CRI,2012,Protected Forests,0.8129376167805489,40.83,%,Estimated,America,Central America,Republic of Costa Rica
CRI,2017,Protected Forests,0.8085738373398036,40.0,%,Food and Agriculture Organization (FAO),America,Central America,Republic of Costa Rica
CRI,2022,Protected Forests,0.8085738373398036,40.0,%,Estimated,America,Central America,Republic of Costa Rica
CUB,2007,Protected Forests,0.8579445061346416,50.435,%,Estimated,America,Caribbean,Republic of Cuba
CUB,2012,Protected Forests,0.8579445061346416,50.435,%,Estimated,America,Caribbean,Republic of Cuba
CUB,2017,Protected Forests,0.8170880178659617,41.635000000000005,%,Food and Agriculture Organization (FAO),America,Caribbean,Republic of Cuba
CUB,2022,Protected Forests,0.8170880178659617,41.635000000000005,%,Estimated,America,Caribbean,Republic of Cuba
CUW,2007,Protected Forests,0.8118888436684533,40.629000000000005,%,Estimated,America,Caribbean,Country of Curaçao
CUW,2012,Protected Forests,0.8118888436684533,40.629000000000005,%,Estimated,America,Caribbean,Country of Curaçao
CUW,2017,Protected Forests,0.802390283693887,38.852000000000004,%,Estimated,America,Caribbean,Country of Curaçao
CUW,2022,Protected Forests,0.802390283693887,38.852000000000004,%,Estimated,America,Caribbean,Country of Curaçao
CYM,2007,Protected Forests,0.8809613403000736,56.17,%,Estimated,America,Caribbean,Cayman Islands
CYM,2012,Protected Forests,0.8809613403000736,56.17,%,Estimated,America,Caribbean,Cayman Islands
CYM,2017,Protected Forests,0.8809613403000736,56.17,%,Food and Agriculture Organization (FAO),America,Caribbean,Cayman Islands
CYM,2022,Protected Forests,0.8809613403000736,56.17,%,Estimated,America,Caribbean,Cayman Islands
CYP,2007,Protected Forests,0.7980474181187361,38.065,%,Estimated,Asia,Western Asia,Republic of Cyprus
CYP,2012,Protected Forests,0.7980474181187361,38.065,%,Estimated,Asia,Western Asia,Republic of Cyprus
CYP,2017,Protected Forests,0.7979916744443727,38.055,%,Food and Agriculture Organization (FAO),Asia,Western Asia,Republic of Cyprus
CYP,2022,Protected Forests,0.7979916744443727,38.055,%,Estimated,Asia,Western Asia,Republic of Cyprus
CZE,2007,Protected Forests,0.867489722539497,52.74,%,Estimated,Europe,Eastern Europe,Czech Republic
CZE,2012,Protected Forests,0.867489722539497,52.74,%,Estimated,Europe,Eastern Europe,Czech Republic
CZE,2017,Protected Forests,0.867489722539497,52.74,%,Food and Agriculture Organization (FAO),Europe,Eastern Europe,Czech Republic
CZE,2022,Protected Forests,0.867489722539497,52.74,%,Estimated,Europe,Eastern Europe,Czech Republic
DEU,2007,Protected Forests,0.8458909718530151,47.665,%,Estimated,Europe,Western Europe,Federal Republic of Germany
DEU,2012,Protected Forests,0.8458909718530151,47.665,%,Estimated,Europe,Western Europe,Federal Republic of Germany
DEU,2017,Protected Forests,0.8458909718530151,47.665,%,Food and Agriculture Organization (FAO),Europe,Western Europe,Federal Republic of Germany
DEU,2022,Protected Forests,0.8458909718530151,47.665,%,Estimated,Europe,Western Europe,Federal Republic of Germany
DJI,2007,Protected Forests,0.47925733806352955,8.035,%,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2012,Protected Forests,0.47925733806352955,8.035,%,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2017,Protected Forests,0.47925733806352955,8.035,%,Food and Agriculture Organization (FAO),Africa,Eastern Africa,Republic of Djibouti
DJI,2022,Protected Forests,0.47925733806352955,8.035,%,Estimated,Africa,Eastern Africa,Republic of Djibouti
DMA,2007,Protected Forests,0.8322037735935878,44.7,%,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2012,Protected Forests,0.8322037735935878,44.7,%,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2017,Protected Forests,0.8322037735935878,44.7,%,Food and Agriculture Organization (FAO),America,Caribbean,Commonwealth of Dominica
DMA,2022,Protected Forests,0.8322037735935878,44.7,%,Estimated,America,Caribbean,Commonwealth of Dominica
DNK,2007,Protected Forests,0.7412112271390621,29.09,%,Estimated,Europe,Northern Europe,Kingdom of Denmark
DNK,2012,Protected Forests,0.7412112271390621,29.09,%,Estimated,Europe,Northern Europe,Kingdom of Denmark
DNK,2017,Protected Forests,0.7350092101870354,28.245,%,Food and Agriculture Organization (FAO),Europe,Northern Europe,Kingdom of Denmark
DNK,2022,Protected Forests,0.7350092101870354,28.245,%,Estimated,Europe,Northern Europe,Kingdom of Denmark
DOM,2007,Protected Forests,0.8118888436684533,40.629000000000005,%,Estimated,America,Caribbean,Dominican Republic
