Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
BMU,2012,Education Index,0.8657682705696426,0.9070348576388889,,Estimated,America,Northern America,Bermuda
BMU,2017,Education Index,0.8657682705696426,0.9070348576388889,,Estimated,America,Northern America,Bermuda
BMU,2022,Education Index,0.8657682705696426,0.9070348576388889,,Estimated,America,Northern America,Bermuda
BOL,2007,Education Index,0.6539297956092434,0.7448816226999999,,Estimated,America,South America,Plurinational State of Bolivia
BOL,2012,Education Index,0.6539297956092434,0.7448816226999999,,Estimated,America,South America,Plurinational State of Bolivia
BOL,2017,Education Index,0.6539297956092434,0.7448816226999999,,Estimated,America,South America,Plurinational State of Bolivia
BOL,2022,Education Index,0.6539297956092434,0.7448816226999999,,United Nations Development Programme (UNDP),America,South America,Plurinational State of Bolivia
BRA,2007,Education Index,0.6066461641527995,0.7086880379333333,,Estimated,America,South America,Federative Republic of Brazil
BRA,2012,Education Index,0.6066461641527995,0.7086880379333333,,Estimated,America,South America,Federative Republic of Brazil
BRA,2017,Education Index,0.6066461641527995,0.7086880379333333,,Estimated,America,South America,Federative Republic of Brazil
BRA,2022,Education Index,0.6066461641527995,0.7086880379333333,,United Nations Development Programme (UNDP),America,South America,Federative Republic of Brazil
BRB,2007,Education Index,0.7114636665435872,0.7889213246111111,,Estimated,America,Caribbean,Barbados
BRB,2012,Education Index,0.7114636665435872,0.7889213246111111,,Estimated,America,Caribbean,Barbados
BRB,2017,Education Index,0.7114636665435872,0.7889213246111111,,Estimated,America,Caribbean,Barbados
BRB,2022,Education Index,0.7114636665435872,0.7889213246111111,,United Nations Development Programme (UNDP),America,Caribbean,Barbados
BRN,2007,Education Index,0.5794238800454823,0.687850551111111,,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2012,Education Index,0.5794238800454823,0.687850551111111,,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2017,Education Index,0.5794238800454823,0.687850551111111,,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2022,Education Index,0.5794238800454823,0.687850551111111,,United Nations Development Programme (UNDP),Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BTN,2007,Education Index,0.4090399683469677,0.5574290001222222,,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BTN,2012,Education Index,0.4090399683469677,0.5574290001222222,,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BTN,2017,Education Index,0.4090399683469677,0.5574290001222222,,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BTN,2022,Education Index,0.4090399683469677,0.5574290001222222,,United Nations Development Programme (UNDP),Asia,Southern Asia,Kingdom of Bhutan
BWA,2007,Education Index,0.5491972121087378,0.6647133377777779,,Estimated,Africa,Southern Africa,Republic of Botswana
BWA,2012,Education Index,0.5491972121087378,0.6647133377777779,,Estimated,Africa,Southern Africa,Republic of Botswana
BWA,2017,Education Index,0.5491972121087378,0.6647133377777779,,Estimated,Africa,Southern Africa,Republic of Botswana
BWA,2022,Education Index,0.5491972121087378,0.6647133377777779,,United Nations Development Programme (UNDP),Africa,Southern Africa,Republic of Botswana
CAF,2007,Education Index,0.117356541280917,0.3341578909166667,,Estimated,Africa,Middle Africa,Central African Republic
CAF,2012,Education Index,0.117356541280917,0.3341578909166667,,Estimated,Africa,Middle Africa,Central African Republic
CAF,2017,Education Index,0.117356541280917,0.3341578909166667,,Estimated,Africa,Middle Africa,Central African Republic
CAF,2022,Education Index,0.117356541280917,0.3341578909166667,,United Nations Development Programme (UNDP),Africa,Middle Africa,Central African Republic
CAN,2007,Education Index,0.8639507189612969,0.9056436001111111,,Estimated,America,Northern America,Canada
CAN,2012,Education Index,0.8639507189612969,0.9056436001111111,,Estimated,America,Northern America,Canada
CAN,2017,Education Index,0.8639507189612969,0.9056436001111111,,Estimated,America,Northern America,Canada
CAN,2022,Education Index,0.8639507189612969,0.9056436001111111,,United Nations Development Programme (UNDP),America,Northern America,Canada
CHE,2007,Education Index,0.8880989872233653,0.9241280601111111,,Estimated,Europe,Western Europe,Swiss Confederation
CHE,2012,Education Index,0.8880989872233653,0.9241280601111111,,Estimated,Europe,Western Europe,Swiss Confederation
CHE,2017,Education Index,0.8880989872233653,0.9241280601111111,,Estimated,Europe,Western Europe,Swiss Confederation
CHE,2022,Education Index,0.8880989872233653,0.9241280601111111,,United Nations Development Programme (UNDP),Europe,Western Europe,Swiss Confederation
CHL,2007,Education Index,0.7731698372823429,0.8361547424444444,,Estimated,America,South America,Republic of Chile
CHL,2012,Education Index,0.7731698372823429,0.8361547424444444,,Estimated,America,South America,Republic of Chile
CHL,2017,Education Index,0.7731698372823429,0.8361547424444444,,Estimated,America,South America,Republic of Chile
CHL,2022,Education Index,0.7731698372823429,0.8361547424444444,,United Nations Development Programme (UNDP),America,South America,Republic of Chile
CHN,2007,Education Index,0.5860868842277814,0.6929507940333334,,Estimated,Asia,Eastern Asia,People's Republic of China
CHN,2012,Education Index,0.5860868842277814,0.6929507940333334,,Estimated,Asia,Eastern Asia,People's Republic of China
CHN,2017,Education Index,0.5860868842277814,0.6929507940333334,,Estimated,Asia,Eastern Asia,People's Republic of China
CHN,2022,Education Index,0.5860868842277814,0.6929507940333334,,United Nations Development Programme (UNDP),Asia,Eastern Asia,People's Republic of China
CIV,2007,Education Index,0.23189739328116094,0.4218339832222222,,Estimated,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2012,Education Index,0.23189739328116094,0.4218339832222222,,Estimated,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2017,Education Index,0.23189739328116094,0.4218339832222222,,Estimated,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2022,Education Index,0.23189739328116094,0.4218339832222222,,United Nations Development Programme (UNDP),Africa,Western Africa,Republic of Côte d'Ivoire
CMR,2007,Education Index,0.4510778955866051,0.5896072240888889,,Estimated,Africa,Middle Africa,Republic of Cameroon
CMR,2012,Education Index,0.4510778955866051,0.5896072240888889,,Estimated,Africa,Middle Africa,Republic of Cameroon
CMR,2017,Education Index,0.4510778955866051,0.5896072240888889,,Estimated,Africa,Middle Africa,Republic of Cameroon
CMR,2022,Education Index,0.4510778955866051,0.5896072240888889,,United Nations Development Programme (UNDP),Africa,Middle Africa,Republic of Cameroon
COD,2007,Education Index,0.34224764580522415,0.5063023519944444,,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COD,2012,Education Index,0.34224764580522415,0.5063023519944444,,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COD,2017,Education Index,0.34224764580522415,0.5063023519944444,,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COD,2022,Education Index,0.34224764580522415,0.5063023519944444,,United Nations Development Programme (UNDP),Africa,Middle Africa,Democratic Republic of the Congo
COG,2007,Education Index,0.4906792757861379,0.6199203761666667,,Estimated,Africa,Middle Africa,Republic of the Congo
COG,2012,Education Index,0.4906792757861379,0.6199203761666667,,Estimated,Africa,Middle Africa,Republic of the Congo
COG,2017,Education Index,0.4906792757861379,0.6199203761666667,,Estimated,Africa,Middle Africa,Republic of the Congo
COG,2022,Education Index,0.4906792757861379,0.6199203761666667,,United Nations Development Programme (UNDP),Africa,Middle Africa,Republic of the Congo
COL,2007,Education Index,0.5906844845542187,0.6964700591999999,,Estimated,America,South America,Republic of Colombia
COL,2012,Education Index,0.5906844845542187,0.6964700591999999,,Estimated,America,South America,Republic of Colombia
COL,2017,Education Index,0.5906844845542187,0.6964700591999999,,Estimated,America,South America,Republic of Colombia
COL,2022,Education Index,0.5906844845542187,0.6964700591999999,,United Nations Development Programme (UNDP),America,South America,Republic of Colombia
COM,2007,Education Index,0.4243225829704507,0.5691271838444445,,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2012,Education Index,0.4243225829704507,0.5691271838444445,,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2017,Education Index,0.4243225829704507,0.5691271838444445,,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2022,Education Index,0.4243225829704507,0.5691271838444445,,United Nations Development Programme (UNDP),Africa,Eastern Africa,Union of the Comoros
CPV,2007,Education Index,0.36445026646941364,0.5232975025,,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2012,Education Index,0.36445026646941364,0.5232975025,,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2017,Education Index,0.36445026646941364,0.5232975025,,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2022,Education Index,0.36445026646941364,0.5232975025,,United Nations Development Programme (UNDP),Africa,Western Africa,Republic of Cabo Verde
CRI,2007,Education Index,0.6481648057181435,0.7404687710666666,,Estimated,America,Central America,Republic of Costa Rica
CRI,2012,Education Index,0.6481648057181435,0.7404687710666666,,Estimated,America,Central America,Republic of Costa Rica
CRI,2017,Education Index,0.6481648057181435,0.7404687710666666,,Estimated,America,Central America,Republic of Costa Rica
CRI,2022,Education Index,0.6481648057181435,0.7404687710666666,,United Nations Development Programme (UNDP),America,Central America,Republic of Costa Rica
CUB,2007,Education Index,0.6652247269482301,0.7535274064999999,,Estimated,America,Caribbean,Republic of Cuba
CUB,2012,Education Index,0.6652247269482301,0.7535274064999999,,Estimated,America,Caribbean,Republic of Cuba
CUB,2017,Education Index,0.6652247269482301,0.7535274064999999,,Estimated,America,Caribbean,Republic of Cuba
CUB,2022,Education Index,0.6652247269482301,0.7535274064999999,,United Nations Development Programme (UNDP),America,Caribbean,Republic of Cuba
CUW,2007,Education Index,0.6351569917379251,0.7305118493282051,,Estimated,America,Caribbean,Country of Curaçao
CUW,2012,Education Index,0.6351569917379251,0.7305118493282051,,Estimated,America,Caribbean,Country of Curaçao
CUW,2017,Education Index,0.6351569917379251,0.7305118493282051,,Estimated,America,Caribbean,Country of Curaçao
CUW,2022,Education Index,0.6351569917379251,0.7305118493282051,,Estimated,America,Caribbean,Country of Curaçao
CYM,2007,Education Index,0.6351569917379251,0.7305118493282051,,Estimated,America,Caribbean,Cayman Islands
CYM,2012,Education Index,0.6351569917379251,0.7305118493282051,,Estimated,America,Caribbean,Cayman Islands
CYM,2017,Education Index,0.6351569917379251,0.7305118493282051,,Estimated,America,Caribbean,Cayman Islands
CYM,2022,Education Index,0.6351569917379251,0.7305118493282051,,Estimated,America,Caribbean,Cayman Islands
CYP,2007,Education Index,0.8119891800867326,0.8658692785555555,,Estimated,Asia,Western Asia,Republic of Cyprus
CYP,2012,Education Index,0.8119891800867326,0.8658692785555555,,Estimated,Asia,Western Asia,Republic of Cyprus
CYP,2017,Education Index,0.8119891800867326,0.8658692785555555,,Estimated,Asia,Western Asia,Republic of Cyprus
CYP,2022,Education Index,0.8119891800867326,0.8658692785555555,,United Nations Development Programme (UNDP),Asia,Western Asia,Republic of Cyprus
CZE,2007,Education Index,0.8364934454314304,0.884626239,,Estimated,Europe,Eastern Europe,Czech Republic
CZE,2012,Education Index,0.8364934454314304,0.884626239,,Estimated,Europe,Eastern Europe,Czech Republic
CZE,2017,Education Index,0.8364934454314304,0.884626239,,Estimated,Europe,Eastern Europe,Czech Republic
CZE,2022,Education Index,0.8364934454314304,0.884626239,,United Nations Development Programme (UNDP),Europe,Eastern Europe,Czech Republic
DEU,2007,Education Index,0.93098795880072,0.9569577218888888,,Estimated,Europe,Western Europe,Federal Republic of Germany
DEU,2012,Education Index,0.93098795880072,0.9569577218888888,,Estimated,Europe,Western Europe,Federal Republic of Germany
