Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
BLR,2017,Basel,0.38,38.0,,xx,Europe,Eastern Europe,Republic of Belarus
BLR,2022,Basel,0.2,20.0,,xx,Europe,Eastern Europe,Republic of Belarus
BLZ,2007,Basel,0.0,0.0,,Estimated,America,Central America,Belize
BLZ,2012,Basel,0.0,0.0,,Estimated,America,Central America,Belize
BLZ,2017,Basel,0.0,0.0,,Estimated,America,Central America,Belize
BLZ,2022,Basel,0.0,0.0,,Estimated,America,Central America,Belize
BMU,2007,Basel,0.0,0.0,,Estimated,America,Northern America,Bermuda
BMU,2012,Basel,0.0,0.0,,Estimated,America,Northern America,Bermuda
BMU,2017,Basel,0.0,0.0,,Estimated,America,Northern America,Bermuda
BMU,2022,Basel,0.0,0.0,,Estimated,America,Northern America,Bermuda
BOL,2007,Basel,0.0,0.0,,Estimated,America,South America,Plurinational State of Bolivia
BOL,2012,Basel,0.0,0.0,,Estimated,America,South America,Plurinational State of Bolivia
BOL,2017,Basel,0.0,0.0,,Estimated,America,South America,Plurinational State of Bolivia
BOL,2022,Basel,0.0,0.0,,Estimated,America,South America,Plurinational State of Bolivia
BRA,2007,Basel,0.0,0.0,,Estimated,America,South America,Federative Republic of Brazil
BRA,2012,Basel,0.0,0.0,,Estimated,America,South America,Federative Republic of Brazil
BRA,2017,Basel,0.0,0.0,,Estimated,America,South America,Federative Republic of Brazil
BRA,2022,Basel,0.0,0.0,,Estimated,America,South America,Federative Republic of Brazil
BRB,2007,Basel,0.0,0.0,,Estimated,America,Caribbean,Barbados
BRB,2012,Basel,0.0,0.0,,Estimated,America,Caribbean,Barbados
BRB,2017,Basel,0.0,0.0,,Estimated,America,Caribbean,Barbados
BRB,2022,Basel,0.0,0.0,,Estimated,America,Caribbean,Barbados
BRN,2007,Basel,0.0,0.0,,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2012,Basel,0.0,0.0,,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2017,Basel,0.0,0.0,,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BRN,2022,Basel,0.0,0.0,,Estimated,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace"
BTN,2007,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BTN,2012,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BTN,2017,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BTN,2022,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BWA,2007,Basel,0.0,0.0,,Estimated,Africa,Southern Africa,Republic of Botswana
BWA,2012,Basel,0.0,0.0,,Estimated,Africa,Southern Africa,Republic of Botswana
BWA,2017,Basel,0.0,0.0,,Estimated,Africa,Southern Africa,Republic of Botswana
BWA,2022,Basel,0.0,0.0,,Estimated,Africa,Southern Africa,Republic of Botswana
CAF,2007,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Central African Republic
CAF,2012,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Central African Republic
CAF,2017,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Central African Republic
CAF,2022,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Central African Republic
CAN,2007,Basel,1.0,100.0,,Estimated,America,Northern America,Canada
CAN,2012,Basel,1.0,100.0,,Estimated,America,Northern America,Canada
CAN,2017,Basel,1.0,100.0,,xx,America,Northern America,Canada
CAN,2022,Basel,1.0,100.0,,xx,America,Northern America,Canada
CHE,2007,Basel,0.80002,80.002,,Estimated,Europe,Western Europe,Swiss Confederation
CHE,2012,Basel,0.80002,80.002,,Estimated,Europe,Western Europe,Swiss Confederation
CHE,2017,Basel,0.80002,80.002,,xx,Europe,Western Europe,Swiss Confederation
CHE,2022,Basel,1.0,100.0,,xx,Europe,Western Europe,Swiss Confederation
CHL,2007,Basel,0.0,0.0,,Estimated,America,South America,Republic of Chile
CHL,2012,Basel,0.0,0.0,,Estimated,America,South America,Republic of Chile
CHL,2017,Basel,0.0,0.0,,Estimated,America,South America,Republic of Chile
CHL,2022,Basel,0.0,0.0,,Estimated,America,South America,Republic of Chile
CHN,2007,Basel,0.0,0.0,,Estimated,Asia,Eastern Asia,People's Republic of China
CHN,2012,Basel,0.0,0.0,,Estimated,Asia,Eastern Asia,People's Republic of China
CHN,2017,Basel,0.0,0.0,,Estimated,Asia,Eastern Asia,People's Republic of China
